arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238849507,01/09/2022,258,351,CRIMINAL MISCHIEF & RELATED OF,M,Q,104,45-64,M,WHITE HISPANIC,-73.91103665,40.69953101
238849508,01/09/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,Q,111,25-44,M,BLACK,-73.8279406,40.71640495
238849509,01/08/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,Q,107,25-44,M,ASIAN / PACIFIC ISLANDER,-73.788933,40.737102
238849510,01/09/2022,705,358,OFFENSES INVOLVING FRAUD,M,Q,105,18-24,M,BLACK,-73.7472763,40.67653643
238849511,01/09/2022,922,348,VEHICLE AND TRAFFIC LAWS,M,Q,108,18-24,M,WHITE HISPANIC,-73.89632537,40.74633332
238849513,01/09/2022,729,113,FORGERY,F,Q,112,25-44,M,ASIAN / PACIFIC ISLANDER,-73.8515418216779,40.7226409964758
238849514,01/09/2022,109,106,FELONY ASSAULT,F,S,121,18-24,M,WHITE,-74.1492376947323,40.6231883776008
238853595,01/09/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,B,40,45-64,M,BLACK,-73.9090412,40.80606683
238853596,01/09/2022,792,118,DANGEROUS WEAPONS,F,B,40,25-44,M,BLACK,-73.918498,40.821562
238853597,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,46,25-44,F,BLACK,-73.902116,40.851308
238853598,01/09/2022,109,106,FELONY ASSAULT,F,K,79,45-64,F,BLACK,-73.9450265328727,40.68900139556
238853599,01/08/2022,461,126,MISCELLANEOUS PENAL LAW,F,K,79,<18,M,BLACK,-73.93953203,40.69048354
238853600,01/08/2022,339,341,PETIT LARCENY,M,M,32,18-24,F,BLACK,-73.945123,40.815904
238853601,01/08/2022,397,105,ROBBERY,F,M,24,25-44,M,BLACK HISPANIC,-73.97248,40.792424
238853602,01/09/2022,114,344,ASSAULT 3 & RELATED OFFENSES,M,Q,102,25-44,F,BLACK,-73.851835,40.693041
238853604,01/08/2022,750,359,OFFENSES AGAINST PUBLIC ADMINI,M,Q,114,25-44,M,BLACK,-73.936288,40.755273
238853606,01/08/2022,117,126,MISCELLANEOUS PENAL LAW,F,Q,107,25-44,M,ASIAN / PACIFIC ISLANDER,-73.799763,40.708572
238853608,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,S,121,18-24,M,WHITE,-74.154053,40.620069
238853852,01/09/2022,792,118,DANGEROUS WEAPONS,F,B,42,<18,M,BLACK HISPANIC,-73.902885,40.830852
238853853,01/09/2022,106,106,FELONY ASSAULT,F,B,46,25-44,F,BLACK,-73.9005768807295,40.8535983673823
238853854,01/09/2022,244,107,BURGLARY,F,K,84,25-44,M,BLACK,-73.993811,40.697676
238853855,01/09/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,K,67,25-44,F,BLACK,-73.921029,40.661934
238853857,01/09/2022,729,113,FORGERY,F,K,72,25-44,M,BLACK HISPANIC,-74.0004411548878,40.6581577535544
238853858,01/09/2022,258,351,CRIMINAL MISCHIEF & RELATED OF,M,M,14,25-44,M,WHITE,-73.988476,40.748822
238853859,01/09/2022,106,106,FELONY ASSAULT,F,M,25,18-24,M,BLACK,-73.9410982410066,40.8009303727402
238853861,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,114,25-44,F,WHITE,-73.935872,40.752003
238853862,01/09/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,Q,106,25-44,M,ASIAN / PACIFIC ISLANDER,-73.82221308,40.68224304
238853863,01/09/2022,115,355,OFFENSES AGAINST THE PERSON,M,Q,110,25-44,M,WHITE HISPANIC,-73.864366,40.747478
238853864,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,114,45-64,F,BLACK,-73.935872,40.752003
238853868,01/09/2022,419,109,GRAND LARCENY,F,Q,115,25-44,M,BLACK,-73.85583589,40.75157615
238854057,01/09/2022,109,106,FELONY ASSAULT,F,B,41,45-64,M,BLACK,-73.8960011932583,40.8162058439227
